,Name of the product,Price,Quantity
0,"
    Haldiram's Heaven Coconut Bakery Cookies",₹90,180 g
1,"Amul
    Taaza Toned Milk",₹30,500 ml
2,"Amul
    Gold Full Cream Milk",₹36,500 ml
3,"Amul
    Cow Milk",₹31,500 ml
4,"
    Haldiram's Heaven Atta Bakery Cookies",₹70,175 g
5,"Amul
    Moti Toned Milk (90 Days Shelf Life)",₹33,450 ml
6,"Mother
    Dairy Toned Milk",₹30,500 ml
7,"Amul
    Buffalo A2 Milk",₹40,500 ml
8,"
    Country Delight Buffalo Fresh Milk",₹55,450 ml
9,"Amul
    Taaza Homogenised Toned Milk",₹77,1 ltr
10,"
    Country Delight Cow Milk",₹46,450 ml
11,"Mother
    Dairy Cow Milk",₹31,500 ml
12,"
    Cadbury Dairy Milk Milkinis Milk Chocolate Bar",₹35,34 g
13,"Amul
    Taaza Toned Milk - Pack of 2",₹34,2 x 200 ml
14,"Mother
    Dairy Full Cream Milk",₹36,500 ml
15,"Amul
    Lactose Free Milk",₹25,250 ml
16,"
    Badshah Kesari Milk Masala",₹102,50 g
17,"Amul
    Gold Milk",₹83,1 ltr
18,"Humpy
    Farms A2 Cow Milk",₹46,500 ml
19,"Mother
    Dairy FIT Life Homogenized Double Toned Milk (450 ml)",₹32,450 ml
20,"Amul
    Cow Milk",₹78,1 ltr
21,"Mother
    Dairy FIT Life Homogenized Double Toned Milk",₹10,115 ml
22,"Amul
    Buffalo Milk (90 Days Shelf Life)",₹37,450 ml
23,"Nestle
    a+ Toned Milk",₹104,1 ltr
