  , Name of the product                           , Price, Quantity
 0, Nandini Toned Fresh Milk | Pouch              , ₹22  , 1 pack (500 ml)
 1, "Heritage Toned Fresh Milk | Pouch
    "                                             , ₹27  , 1 pack (500 ml)
 2, "Nandini Standardized Fresh Milk |
    Pouch"                                        , ₹27  , 1 pack (500 ml)
 3, "Amul Buffalo A2 Milk (Tetra Pack)
    "                                             , ₹90  , 1 L
 4, "Nandini Goodlife Toned UHT Milk (Fino
    Pouch)"                                       , ₹32  , 1 pack (500 ml)
 5, "Nandini Good Life Toned UHT Milk (Fino
    Pouch)"                                       , ₹15  , 1 pack (180 ml)
 6, "Amul Gold Full Cream Fresh Milk |
    Pouch"                                        , ₹33  , 1 pack (500 ml)
 7, "Heritage Toned Fresh Milk | Pouch
    "                                             , ₹27  , 1 pack (500 ml)
 8, "Nandini Standardized Fresh Milk |
    Pouch"                                        , ₹52  , 1 pack (1 L)
 9, "Amul Moti Toned Milk | 90 Days Shelf
    life"                                         , ₹30  , 1 pack (450 ml)
10, "Heritage Special Long Life Toned Milk
    (Pouch)"                                      , ₹32  , 1 pack (450 ml)
11, "Nandini Goodlife Toned Milk UHT (Tetra Pack
    Brick)"                                       , ₹70  , 1 pack (1 L)
12, "Amul Taaza Homogenised Toned Milk (Tetra
    Pack)"                                        , ₹17  , 1 pack (200 ml)
13, "Nandini Goodlife Milk UHT (Pouch Brik)
    "                                             , ₹36  , 1 pack (500 ml)
14, "Amul Taaza Homogenised Toned Milk (Tetra
    Pack)"                                        , ₹77  , 1 pack (1 L)
15, "Akshayakalpa Amrutha A2 Pasteurized Organic
    Fresh Milk | Pouch"                           , ₹47  , 1 pack (500 ml)
16, "Amul Lactose Free Milk (Tetra Pack)
    "                                             , ₹26  , 1 pack (250 ml)
17, "Akshayakalpa Organic Pasteurized Cow Fresh
    Milk | Pouch"                                 , ₹45  , 1 pack (500 ml)
18, "Amul Gold Homogenised Standardised Milk
    (Tetra Pack)"                                 , ₹83  , 1 pack (1 L)
19, "Godrej Jersey Full Cream Fresh Milk |
    Pouch"                                        , ₹35  , 1 pack (490 ml or 500 ml)
20, "Nandini Goodlife Slim Skimmed Milk UHT (Tetra
    Pack Brik)"                                   , ₹73  , 1 pack (1 L)
21, "Amul Slim Trim Skimmed Milk (Tetra
    Pack)"                                        , ₹85  , 1 pack (1 L)
22, "Akshayakalpa Organic Cow Milk - Uht
    "                                             , ₹135 , 1 pack (1 L)
23, "Go Daily Double Tonned Milk Tetra Pack
    "                                             , ₹75  , 1 pc (1 L)
24, "Heritage Lite Fit Tetra pack Milk
    "                                             , ₹65  , 1 pack (1 L)
25, Milky Mist Toned Milk                         , ₹83  , 1 L
26, Nestle a+ Toned Milk                          , ₹103 , 1 pack (1 L)
27, "Akshayakalpa Organic Cow Milk - Uht
    "                                             , ₹135 , 1 pack (1 L)
28, "Go Daily Double Tonned Milk Tetra Pack
    "                                             , ₹75  , 1 pc (1 L)
29, "Heritage Lite Fit Tetra pack Milk
    "                                             , ₹65  , 1 pack (1 L)
30, Milky Mist Toned Milk                         , ₹83  , 1 L
31, Nestle a+ Toned Milk                          , ₹103 , 1 pack (1 L)
32, Milky Mist Double Toned Milk                  , ₹73  , 1 L
33, Nestle A+ Slim Milk (Tetra Pack)              , ₹92  , 1 pack (1 L)
34, Go Supremo Cow's Milk                         , ₹72  , 1 L
35, "Nandini Goodlife Slim Skimmed Milk UHT (Tetra
    Pack)"                                        , ₹37  , 1 pack (500 ml)
36, "Nandini Goodlife - Toned Milk Combo
    "                                             , ₹96  , 3 x 500 ml
37, Milky Mist Paneer                             , ₹105 , 1 pack (200 g)
38, "Milky Mist Fruit Yogurt Blueberry
    Combo"                                        , ₹76  , 100 ml X 2
